id,grade,q,choice1,choice2,choice3,choice4,answer,exp,tags,img
1,2,明治時代にトラック諸島に渡り、現地の女性と結婚して生涯をこの地域の発展に捧げた日本人は誰か？,榎本武揚,水谷信六,森小弁,佐本常吉,3,,,
2,2,この国の島の総数は？,14,586,607,"1,225",3,,,
3,3,全4州のうち、州を構成する島が一つしかないところは？,コスラエ州,ヤップ州,チューク州,ポンペイ州,1,,,
4,3,2016年に世界遺産として登録された遺跡の名前は？,タモン遺跡,ナンマトル遺跡,ジョカージ遺跡,エニ遺跡,2,,,
5,2,コスラエ州の東側に位置するフィンコール山が、夕日に照らされ見えるシルエットから名付けられた愛称は？,フェメ・クシェ,ベラ・ドルミエンテ,スリーピングレディ,ムヘレ・ムエルタ,3,,,
6,4,ポンペイ語で「こんにちは」を表す言葉は？,「カセレリア」,「モゲスィン」,「ランアリーム」,「レンウォ」,1,,,
7,2,ヤップには、かつて石貨が用いられていた。これを現地語では何と呼ばれている？,タラ,ヴァツ,テヴァウ,ライ,4,,,
8,1,ミクロネシア地域で用いられている伝統的な航海術では、何を基準に航海するか？,星の位置,風向き,月,長年の勘,1,,,
9,3,ミクロネシア地域で広く用いられている、舟の片側に浮きがついているカヌーの名称は。,カタマラン,ワカ・タウア,アウトリガー・カヌー,ラフト,3,,,
10,4,この国の独立年は？,1979年,1986年,1990年,1991年,2,,,
11,3,この国の独立記念日は？,5月10日,10月24日,11月3日,11月23日,3,,,
12,2,この国の国連加盟年は？,1947年,1978年,1990年,1991年,4,,,
13,3,この国の通貨は、次のうちどれか？,豪ドル,サルピュ,アルー,米ドル,4,,,
14,3,2024年現在、第4代目の駐日大使を務めているのは誰か？,ジョン・フリッツ,ヴィンセント・シヴァス,カルソン・シグラー,ジャックソン・T・ソラム,1,,,
15,4,ミクロネシア連邦の国旗は？,別シートを参照,別シートを参照,別シートを参照,別シートを参照,1,,,
16,4,ポンペイにある首都と日本との時差はどれくらいか？,1時間,2時間,3時間,4時間,2,,,
17,3,食用油から繊維まで採取できる、島の人々にとって生活必需品である植物の名称は？,パンノキ,バナナ,ココヤシ,ビートルナッツ,3,,,
18,3,島の数少ない輸出品目で、食用油・石鹸などの原料となる加工物の名称は？,トウモロコシ,ピーナッツ,米,コプラ,4,,,
19,4,国旗に描かれている星は、何を表しているか？,夜空の星,州の数,伝統模様,空と海,2,,,
20,3,ポンペイ州の州都は、どこか？,ウー,マタラニウム,コロ二ア,ソケース,1,,,
21,3,コスラエ州の州都は、どこか？,ウトウェ,マレム,トフォル,レラ,3,,,
22,3,ヤップ州の州都は、どこか？,サタワル,コロ二ア,ウルシー,ウォレアイ,2,,,
23,3,チューク州の州都は、どこか？,トノアス,ウマン,ウェノ,フォノ,3,,,
24,2,この国で一番標高の高い山はどの州にあるか？,ヤップ州,チューク州,ポンペイ州,コスラエ州,3,,,
25,2,歴史上ミクロネシア地域を統治した国の、正しい順序はどれか。,スペイン→ドイツ→日本→アメリカ,ドイツ→スペイン→日本→アメリカ,ポルトガル→イギリス→日本→アメリカ,イギリス→ドイツ→日本→アメリカ,1,,,
26,2,現在米国で、軍事防衛、安全保証及び経済援助等に関して結ばれている協定を何というか。,自由連盟協定,米・ミクロネシア協定,チューク相互保障協定,自由連合協定,4,,,
27,1,この国の歳入で最も多くの割合を占める項目は何か？,漁業,農業,観光業,アメリカからの経済援助,4,,,
28,4,この国の国土面積は？,約180km,約488km,約549km,約700km,4,,,
29,3,チューク州にある観光無人島のうち、日本人に広く知られている島は、次のうちどれか。,ジープ島,トノアス島,フォノ島,ウェノ島,1,,,
30,2,ポンペイ州において、伝統的指導者として位置付けられている最高位者の称号は？,ナニケン,ナンマルキ,チーフ,ワサイ,2,,,
31,2,ミクロネシア連邦にある島に、遺伝的に色盲を患う人が多い島として知られる島は？,"
ヌガティク島
",モキル島,ピンゲラップ島,ヌクオロ島,3,,,
32,2,この国の憲法発効年は？,1947年,1965年,1978年,1979年,4,,,
33,2,この国の初代大統領は？,トシオ・ナカヤマ,マサオ・ナカヤマ,エマニュエル・モリ,ジョン・ハグレルガム,1,,,
34,1,この国の政治制度は？,両院制・議院内閣制,一院制・大統領制,一院制・一党制,"
両院制・議会統治制",2,,,
35,1,日本と外交関係を樹立したのはいつか？,1947年,1979年,1988年,1991年,3,,,
36,2,2007年にUNESCOの生物圏保護区として登録され、ダイビングやシュノーケリングのスポットとして有名なポンペイ州の場所は？,"
パキン環礁
",クオープ環礁,ウルシー環礁,アンツ環礁,4,,,
37,1,コスラエ島には、精霊が住んでいるという伝説が伝わる。その場所は？,イエラ,ウトウェ・ワルング,ケプロイ,ソケース,1,,,
38,1,コスラエ島にあるイエラの森は、国内の固有種を保護する地区でもある。その木の現地語名は？,アミカルム（Metroxylon Amicarum）,カ（Terminalia Carolinensis）,コロム（Parkia Korom）,パナウ（Semecarpus Kraemeri）,2,,,
39,3,ポンペイ州には高さ15メートルの滝がある。その名称は？,サワラップ滝,レーン・パイポン滝,シプイェンの滝,ケプロイの滝,4,,,
40,2,この国への来訪者が最多の国は？,オーストラリア,パラオ,ニュージーランド,米国,4,,,
41,2,この国で話される現地言語の系統は、次のうちどれか？,オーストラリア語族,トランス・ニューギニア語族,オーストロネシア語族,オーストロアジア語族,3,,,
42,3,日本とこの国を結ぶ航空便を運航している航空会社は、次のうちどれか？,ユナイテッド航空,アメリカン航空,ニュージーランド航空,エアカラン,1,,,
43,3,この国を含む島嶼群を、何と呼ぶか？,セケイラ諸島,デ・キロス諸島,サラザール諸島,カロリン諸島,4,,,
44,1,コスラエには、1400年頃にサンゴや玄武岩で作られた建造遺跡がある。それは何か？,サフォンフォク遺跡,レラ遺跡,ファウバ遺跡,リキンルレム遺跡,2,,,
45,2,この国の祝日はいくつあるか？,8日,11日,12日,16日,1,,,
46,2,2月の最終週から3月2日までの間で、4州の伝統文化や芸能を披露する年一回のイベントとは？,フェデレーション・デイ,フォー・ステイツ・デイ,ミクロネシア・カルチュラル・デイ,アイランダーズ・デイ,3,,,
47,1,コスラエには、パンの木の女神を祀るための建造物が遺跡として遺っている。それは何か？,リキンルレム遺跡,ファウバ遺跡,サフォンフォク遺跡,メンケ遺跡,4,,,
48,2,第二次世界大戦中、日本海軍の無線通信所だった建物は、現在どの様に使われているか？,集会所,高校,工場,町役場,2,,,
49,1,米国と結んでいる自由連合協定には、人々に米国で生活する自由、働く自由、そして○○の自由が保障されている。〇〇とは？,宗教,結社,勉学,表現,3,,,
